PCA,word voisins
sister,"['sister', 'elegance', 'thought', 'present', 'unwilling', 'sake', 'gradually', 'taste', 'much', 'might']"
time,"['heard', 'caroline', 'moment', 'neighbour', 'reynolds', 'told', 'town', 'besides', 'frightened', 'determined']"
much,"['taste', 'gradually', 'sake', 'unwilling', 'present', 'music', 'sister', 'elegance', 'event', 'thought']"
little,"['shook', 'mentioning', 'seeing', 'saying', 'travelling', 'venture', 'write', 'bingley', 'whisper', 'desire']"
good,"['good', 'late', 'wonder', 'importance', 'least', 'thing', 'among', 'us', 'part', 'bear']"
nothing,"['serious', 'grieved', 'comfort', 'would', 'relations', 'reserved', 'need', 'extraordinary', 'accomplished', 'always']"
family,"['family', 'brought', 'months', 'others', 'assistance', 'seldom', 'words', 'name', 'astonishment', 'fact']"
man,"['allow', 'age', 'appear', 'greater', 'woman', 'light', 'compliment', 'discourse', 'marriage', 'misery']"
dear,"['pray', 'merely', 'regret', 'disagreeable', 'repeating', 'certain', 'agitated', 'notion', 'treated', 'mean']"
great,"['apology', 'parties', 'admiration', 'whether', 'pretty', 'lost', 'brother', 'one', 'equal', 'eliza']"
mother,"['humour', 'patience', 'reflection', 'parish', 'evident', 'constant', 'says', 'laughing', 'married', 'noble']"
father,"['either', 'bear', 'known', 'tears', 'us', 'among', 'least', 'importance', 'wonder', 'entirely']"
day,"['day', 'endeavouring', 'important', 'usual', 'happened', 'left', 'speedily', 'writing', 'leading', 'horror']"
young,"['presentation', 'cried', 'young', 'tolerably', 'mentioned', 'views', 'enough', 'tried', 'boast', 'therefore']"
last,"['almost', 'quite', 'children', 'another', 'air', 'spoke', 'pleased', 'admired', 'enjoyment', 'silent']"
letter,"['letter', 'feared', 'pause', 'hear', 'appearance', 'line', 'spirits', 'expressing', 'dance', 'delight']"
room,"['remain', 'led', 'neighbours', 'invite', 'set', 'paying', 'books', 'resolving', 'calling', 'drawn']"
friend,"['live', 'considered', 'inferior', 'thinking', 'decided', 'people', 'hoped', 'spared', 'promise', 'tone']"
first,"['wrote', 'amusement', 'take', 'carried', 'changed', 'necessity', 'remarks', 'chose', 'relation', 'powers']"
way,"['put', 'point', 'silent', 'enjoyment', 'pleased', 'talk', 'introduce', 'desire', 'venture', 'air']"
house,"['observing', 'approaching', 'smiles', 'impatient', 'cold', 'recover', 'morning', 'distance', 'tempted', 'glance']"
sure,"['sure', 'prevented', 'offer', 'triumph', 'happy', 'circle', 'often', 'possible', 'knew', 'wholly']"
manner,"['person', 'favourite', 'recollect', 'address', 'circumstance', 'interesting', 'occurred', 'anything', 'softened', 'say']"
pleasure,"['thanked', 'whenever', 'attempt', 'pleasures', 'observe', 'communication', 'struck', 'excessive', 'read', 'beauty']"
aunt,"['charles', 'answered', 'fixed', 'pay', 'embarrassed', 'subjects', 'acquainted', 'office', 'ladyship', 'eligible']"

t-SNE,word voisins
sister,"['notions', 'discrimination', 'arch', 'diversified', 'walks', 'frighten', 'moment', 'smile', 'plain', 'alighted']"
time,"['gossiping', 'judge', 'irritated', 'sport', 'solely', 'arranging', 'whether', 'hatefully', 'attachment', 'suggesting']"
much,"['much', 'indicated', 'causes', 'shrink', 'thin', 'superseded', 'respectability', 'justly', 'cradles', 'deserving']"
little,"['nay', 'informed', 'earnestly', 'deepest', 'contents', 'approve', 'rightly', 'graciously', 'surmise', 'kinder']"
good,"['good', 'pool', 'clump', 'aspect', 'suspects', 'kingdom', 'reckoned', 'butcher', 'displease', 'latest']"
nothing,"['nothing', 'benevolent', 'particulars', 'overbearing', 'satisfactory', 'satin', 'unlikely', 'estate', 'proficiency', 'hints']"
family,"['signs', 'imperturbably', 'incredible', 'formation', 'recover', 'grave', 'backward', 'bless', 'perusal', 'pompous']"
man,"['disdain', 'prudent', 'designedly', 'avarice', 'gladly', 'arrogance', 'design', 'matrimonial', 'impressing', 'fullest']"
dear,"['plenty', 'put', 'wants', 'miller', 'prejudiced', 'equipage', 'confirm', 'despicably', 'pleasantness', 'unknown']"
great,"['talker', 'likewise', 'humble', 'bottom', 'fifth', 'plate', 'abode', 'foretold', 'determined', 'calico']"
mother,"['jealousy', 'interrupting', 'reduced', 'accept', 'thinking', 'absence', 'mistake', 'became', 'secrecy', 'brothers']"
father,"['activity', 'lanes', 'sum', 'hear', 'hereabouts', 'impatient', 'assist', 'receiving', 'sooner', 'disinclined']"
day,"['extraordinary', 'postilions', 'describe', 'wide', 'unanswerable', 'disclaimed', 'larger', 'pray', 'argument', 'fashions']"
young,"['qualities', 'bestowed', 'weeks', 'popular', 'degenerate', 'liberally', 'least', 'lose', 'inclined', 'severe']"
last,"['last', 'reader', 'conquer', 'improbable', 'admit', 'copse', 'loved', 'benches', 'offended', 'uncomfortable']"
letter,"['letter', 'retort', 'usual', 'active', 'upbraided', 'anger', 'become', 'unjustly', 'querulous', 'condemned']"
